City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
1653,Port Alfred,ZA,62.19,-33.5906,26.891,The Halyards Hotel
1655,Peniche,PT,66.29,39.3558,-9.3811,Hotel Star inn Peniche
1662,Vila,PT,62.71,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
1668,Bereda,ES,62.42,43.2686,-7.5406,Pazo de Verdes
1669,Souillac,MU,71.98,-20.5167,57.5167,Shanti Maurice Resort & Spa
1675,Port Alfred,ZA,62.19,-33.5906,26.891,The Halyards Hotel
1679,Arraial Do Cabo,BR,71.64,-22.9661,-42.0278,Pousada Porto Praia
1680,Saint-Philippe,RE,67.59,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
1693,Mahebourg,MU,71.89,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
1698,Rikitea,PF,73.45,-23.1203,-134.9692,People ThankYou
1707,Thompson,CA,66.36,55.7435,-97.8558,Burntwood Hotel
1708,Huarmey,PE,64.11,-10.0681,-78.1522,Hotel Miramar
1721,Rikitea,PF,73.45,-23.1203,-134.9692,People ThankYou
1731,Rikitea,PF,73.45,-23.1203,-134.9692,People ThankYou
1740,Hay River,CA,67.96,60.8156,-115.7999,Ptarmigan Inn
1743,Paita,PE,64.47,-5.0892,-81.1144,Hotel Náutico de Paita
1752,Lagoa,PT,65.39,39.05,-27.9833,Casa Das Faias
1759,Belaya Gora,RU,64.76,68.5333,146.4167,
1764,Kande,TG,72.25,9.9578,1.0447,
1768,Port Alfred,ZA,62.19,-33.5906,26.891,The Halyards Hotel
1772,Lagoa,PT,65.39,39.05,-27.9833,Casa Das Faias
1776,Bambous Virieux,MU,71.85,-20.3428,57.7575,Casa Tia Villa
1777,Ribeira Grande,PT,67.05,38.5167,-28.7,Quinta da Meia Eira
1779,Saint-Philippe,RE,67.59,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
1782,Arraial Do Cabo,BR,71.64,-22.9661,-42.0278,Pousada Porto Praia
1793,Devils Lake,US,73.51,48.1128,-98.8651,"Holiday Inn Express Devils Lake, an IHG Hotel"
1803,Yellowknife,CA,70.32,62.456,-114.3525,The Explorer Hotel
1808,Arraial Do Cabo,BR,71.64,-22.9661,-42.0278,Pousada Porto Praia
1809,Port Alfred,ZA,62.19,-33.5906,26.891,The Halyards Hotel
1815,Yellowknife,CA,70.32,62.456,-114.3525,The Explorer Hotel
1816,Kiruna,SE,65.32,67.8557,20.2251,Camp Ripan
1819,Arraial Do Cabo,BR,71.64,-22.9661,-42.0278,Pousada Porto Praia
1825,Nikolskoye,RU,69.69,59.7035,30.7861,Tourist House - Sablino
1827,Disna,BY,68.41,55.568,28.1971,
1833,Thompson,CA,66.36,55.7435,-97.8558,Burntwood Hotel
1834,Belaya Gora,RU,64.76,68.5333,146.4167,
1836,Rikitea,PF,73.45,-23.1203,-134.9692,People ThankYou
1838,Cairns,AU,73.06,-16.9167,145.7667,Mantra Trilogy Cairns
1841,Kindia,GN,70.84,10.0569,-12.8658,LES EAUX DE KILISSI
1842,Souillac,MU,71.98,-20.5167,57.5167,Shanti Maurice Resort & Spa
1843,Saint-Philippe,RE,67.59,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
