City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Port Alfred,ZA,2022-07-02 22:40:32,-33.5906,26.891,62.19,69,13,9.78
1,Saint-Pierre,RE,2022-07-02 22:40:32,-21.3393,55.4781,67.91,76,75,11.5
2,San Quintin,MX,2022-07-02 22:40:33,30.4833,-115.95,73.58,62,0,17.87
3,Hervey Bay,AU,2022-07-02 22:40:33,-25.2986,152.8535,58.01,94,100,8.01
4,San Patricio,US,2022-07-02 22:40:34,28.017,-97.5169,95.18,57,27,19.93
5,Manzhouli,CN,2022-07-02 22:40:34,49.6,117.4333,79.79,44,80,4.7
6,Kapaa,US,2022-07-02 22:40:34,22.0752,-159.319,84.52,67,40,18.41
7,Kapaa,US,2022-07-02 22:40:34,22.0752,-159.319,84.52,67,40,18.41
8,Ribeira Grande,PT,2022-07-02 22:40:35,38.5167,-28.7,67.05,83,3,15.3
9,Georgetown,MY,2022-07-02 22:36:03,5.4112,100.3354,83.89,84,20,2.3
10,New Norfolk,AU,2022-07-02 22:40:35,-42.7826,147.0587,41.72,88,36,3.11
11,Saskylakh,RU,2022-07-02 22:40:36,71.9167,114.0833,62.06,51,56,10.45
12,Mazagao,BR,2022-07-02 22:40:36,-0.115,-51.2894,80.65,90,26,4.14
13,Esperance,AU,2022-07-02 22:40:36,-33.8667,121.9,48.6,77,0,10.29
14,Rikitea,PF,2022-07-02 22:40:37,-23.1203,-134.9692,73.45,76,6,20.4
15,Yantzaza,EC,2022-07-02 22:40:37,-3.8278,-78.7594,68.49,96,80,0.36
16,Bethel,US,2022-07-02 22:37:54,41.3712,-73.414,83.62,84,89,3.58
17,Mataura,NZ,2022-07-02 22:40:37,-46.1927,168.8643,48.47,87,46,4.47
18,Klaksvik,FO,2022-07-02 22:40:38,62.2266,-6.589,49.12,90,100,20.49
19,Rikitea,PF,2022-07-02 22:40:37,-23.1203,-134.9692,73.45,76,6,20.4
20,Hrubieszow,PL,2022-07-02 22:40:38,50.805,23.8925,62.38,96,96,10.13
21,Castro,BR,2022-07-02 22:40:38,-24.7911,-50.0119,56.35,83,0,3.98
22,Mar Del Plata,AR,2022-07-02 22:40:39,-38.0023,-57.5575,45.09,70,0,6.91
23,Barrow,US,2022-07-02 22:40:39,71.2906,-156.7887,46.42,81,0,16.11
24,Pitiquito,MX,2022-07-02 22:40:39,30.7,-112.0833,101.23,21,17,9.57
25,Mokhsogollokh,RU,2022-07-02 22:40:40,61.4681,128.9203,72.95,56,100,5.12
26,Panguna,PG,2022-07-02 22:40:40,-6.3164,155.4848,79.14,67,34,2.77
27,Faya,SA,2022-07-02 22:40:40,18.3851,42.4509,72.12,45,89,3.29
28,Tutoia,BR,2022-07-02 22:40:41,-2.7619,-42.2744,76.86,90,47,11.54
29,Ushuaia,AR,2022-07-02 22:40:41,-54.8,-68.3,40.66,56,75,10.36
30,Mar Del Plata,AR,2022-07-02 22:40:39,-38.0023,-57.5575,45.09,70,0,6.91
31,Nuuk,GL,2022-07-02 22:40:42,64.1835,-51.7216,56.01,58,20,10.36
32,Rikitea,PF,2022-07-02 22:40:37,-23.1203,-134.9692,73.45,76,6,20.4
33,Hobart,AU,2022-07-02 22:36:13,-42.8794,147.3294,42.06,90,20,6.91
34,Inhambane,MZ,2022-07-02 22:40:42,-23.865,35.3833,65.66,80,0,3.71
35,Albany,US,2022-07-02 22:36:31,42.6001,-73.9662,79.88,62,55,9.55
36,Georgetown,MY,2022-07-02 22:36:03,5.4112,100.3354,83.89,84,20,2.3
37,Mataura,NZ,2022-07-02 22:40:37,-46.1927,168.8643,48.47,87,46,4.47
38,Saquena,PE,2022-07-02 22:40:43,-4.6667,-73.5167,78.06,75,37,2.62
39,Ushuaia,AR,2022-07-02 22:40:41,-54.8,-68.3,40.66,56,75,10.36
40,Rikitea,PF,2022-07-02 22:40:37,-23.1203,-134.9692,73.45,76,6,20.4
41,Haines Junction,CA,2022-07-02 22:40:43,60.7522,-137.5108,78.75,34,91,8.05
42,Asau,RO,2022-07-02 22:40:44,46.4333,26.4,72.95,94,97,3.83
43,Kahului,US,2022-07-02 22:38:14,20.8947,-156.47,87.82,59,40,27.63
44,Vaini,TO,2022-07-02 22:40:44,-21.2,-175.2,75.36,78,75,8.05
45,Vaini,TO,2022-07-02 22:40:44,-21.2,-175.2,75.36,78,75,8.05
46,Cape Town,ZA,2022-07-02 22:38:45,-33.9258,18.4232,59.38,82,75,13.8
47,Hualmay,PE,2022-07-02 22:40:45,-11.0964,-77.6139,62.94,81,29,8.86
48,Benguela,AO,2022-07-02 22:40:45,-12.5763,13.4055,67.87,81,0,0.74
49,Bluff,NZ,2022-07-02 22:40:45,-46.6,168.3333,48.79,78,34,24.83
50,Kavieng,PG,2022-07-02 22:40:45,-2.5744,150.7967,83.55,77,19,14.38
51,Zhigansk,RU,2022-07-02 22:40:46,66.7697,123.3711,65.37,56,80,12.08
52,Ushuaia,AR,2022-07-02 22:40:41,-54.8,-68.3,40.66,56,75,10.36
53,Bengkulu,ID,2022-07-02 22:40:46,-3.8004,102.2655,74.25,86,46,3.53
54,Maniitsoq,GL,2022-07-02 22:40:47,65.4167,-52.9,45.3,77,81,9.57
55,Busselton,AU,2022-07-02 22:40:47,-33.65,115.3333,48.04,76,0,7.49
56,Chokurdakh,RU,2022-07-02 22:40:47,70.6333,147.9167,61.7,39,18,7.45
57,Takoradi,GH,2022-07-02 22:40:48,4.8845,-1.7554,74.89,86,67,6.11
58,Hauterive,FR,2022-07-02 22:40:48,46.0901,3.4459,66.96,85,0,1.14
59,Dawson Creek,CA,2022-07-02 22:40:48,55.7666,-120.2362,65.84,48,100,5.75
60,Souillac,MU,2022-07-02 22:40:48,-20.5167,57.5167,71.98,56,40,14.97
61,Arys,KZ,2022-07-02 22:40:49,42.4252,68.795,75.22,20,0,0.51
62,Hermanus,ZA,2022-07-02 22:40:49,-34.4187,19.2345,57.79,73,4,16.35
63,Oussouye,SN,2022-07-02 22:40:50,12.485,-16.5469,80.78,73,100,7.85
64,Vaini,TO,2022-07-02 22:40:44,-21.2,-175.2,75.36,78,75,8.05
65,Punta Arenas,CL,2022-07-02 22:40:50,-53.15,-70.9167,35.71,80,75,6.91
66,Hobart,AU,2022-07-02 22:36:13,-42.8794,147.3294,42.06,90,20,6.91
67,Nueva Loja,EC,2022-07-02 22:40:51,0.0847,-76.8828,82.42,69,40,3.44
68,Quatre Cocos,MU,2022-07-02 22:40:51,-20.2078,57.7625,71.71,69,99,20.15
69,Rikitea,PF,2022-07-02 22:40:37,-23.1203,-134.9692,73.45,76,6,20.4
70,Ternate,ID,2022-07-02 22:40:51,0.8,127.4,81.32,77,95,2.98
71,Bethel,US,2022-07-02 22:37:54,41.3712,-73.414,83.62,84,89,3.58
